Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF","C_0805_2012Metric",85.800000,34.100000,270.000000,top
"C3","100nF","C_0603_1608Metric",59.512500,65.950000,180.000000,top
"C4","100nF","C_0603_1608Metric",51.950000,83.912500,270.000000,top
"C8","47u","CP_Elec_10x10",42.300000,19.300000,180.000000,top
"D1","D","D_SOD-123F",13.680000,53.140000,90.000000,top
"Q1","IRLR7843TRPBF","TO-252-3_TabPin4",49.825000,70.175000,180.000000,top
"Q2","IRLR7843TRPBF","TO-252-3_TabPin4",45.400000,78.000000,0.000000,top
"R1","100","R_0603_1608Metric",63.000000,67.262500,270.000000,top
"R2","100","R_0603_1608Metric",51.162500,87.150000,0.000000,top
"U2","LTC4357MS8","MSOP-8_3x3mm_P0.65mm",60.000000,70.250000,270.000000,top
"U3","LTC4357MS8","MSOP-8_3x3mm_P0.65mm",47.450000,84.400000,0.000000,top
